Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,Multi-Mode UART,RCOSC_50MHZ
vectorblox_mxp_0/core/exec_stage/byte_mul_gen_multiplier_stage/mult_word_gen_0_word0_multiplier/WideMult_0_0/Primitives,0,0,144,144,0,0,0,4,0,0,0,0,0,0
riscV_axi_0/Primitives,93,36,0,0,0,0,0,0,0,1,0,0,0,0
my_mss_top_0/my_mss_0/COREAHBTOAPB3_0/U_ApbAddrData/Primitives,35,100,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/URXF/Primitives,17,12,36,36,0,1,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/alu_stage/arith_stage/Primitives,141,6,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/arbiter/barrel_shifters_gen.0.byteena_shifter/Primitives,14,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/UG06a_tx_fifo_xhdl79/Top_Fabric_Master_CoreUARTapb_0_fifo_128x8_pa4/ram128_8_pa4/Primitives,0,0,36,36,0,1,0,0,0,0,0,0,0,0
vectorblox_mxp_0/axi_instr_slave_inst/Primitives,23,13,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/apb_bus/Primitives,26,10,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/fsl_handler_inst/xilinx_gen_param_ram_0/Primitives,0,0,72,72,0,2,0,0,0,0,0,0,0,0
riscV_axi_0/rv/X/Primitives,167,14,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/Primitives,3,10,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/UTXF/Primitives,21,12,36,36,0,1,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/COREAHBTOAPB3_0/U_AhbToApbSM/Primitives,24,9,0,0,0,0,0,0,0,0,0,0,0,0
Primitives/Primitives,1,0,0,0,19,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/arbiter/barrel_shifters_gen.1.byteena_shifter/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/input_shifter/size_up_a/Primitives,21,3,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/mult_word_gen.0.word0_shamt_rom/Primitives,46,0,0,0,0,0,0,0,0,0,0,0,0,0
axi_splitter_0/Primitives,96,37,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen_multiplier_stage/mult_word_gen_0_byte3_multiplier/product_mulonly_0[17_0]/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreSF2Config_0/Primitives,36,56,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/scratchpad_memory/scratchpad_gen_2_xil_ram_gen_scratchpad_memory/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
riscV_axi_0/rv/X/syscall/li/Primitives,21,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/Primitives,43,135,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/UG06a.tx_fifo_xhdl79/Top_Fabric_Master_CoreUARTapb_0_fifo_128x8_pa4/Primitives,26,30,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreAHBLite_0/matrix4x16/slavestage_16/slave_arbiter/Primitives,47,9,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_TX/Primitives,24,21,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/output_shifter/Primitives,0,41,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/arbiter/barrel_shifters_gen.0.data_shifter/Primitives,98,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/mux/Primitives,44,0,0,0,0,0,0,0,0,0,0,0,0,0
axi_to_apb_2/Primitives,35,47,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen_multiplier_stage/mult_word_gen_0_half1_multiplier/product_mulonly_0[34_0]/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0
vectorblox_mxp_0/core/address_generation/masked_unit_gen.the_masked_unit/word_expander/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/input_shifter/barrel_shifters_gen.0.barrel_shifter_b/Primitives,65,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/X/alu/oc/Primitives,138,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/input_shifter/barrel_shifters_gen.0.barrel_shifter_a/Primitives,60,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen_multiplier_stage/mult_word_gen_0_byte1_multiplier/product_mulonly_0[17_0]/Primitives,0,0,36,36,0,0,0,1,0,0,0,0,0,0
vectorblox_mxp_0/dma_master/Primitives,2,54,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/iram/Primitives,2,2,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/output_shifter/size_down_dest/Primitives,16,4,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/COREAHBTOAPB3_0/U_PenableScheduler/Primitives,5,2,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_Top_Fabric_Master_CoreUARTapb_0_Clock_gen/Primitives,39,20,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/arbiter/barrel_shifters_gen.1.data_shifter/Primitives,36,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreAPB3_0/Primitives,2,0,0,0,0,0,0,0,0,0,0,0,0,0
